Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
621,Jordan Stevens,eng ENG,MF,Leeds United,18,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
622,Kevin Stewart,jm JAM,MF,Hull City,24,1993,27,16,"1,601",17.8,0,1,1,0,0,0,5,0,0.3,0.3,0.5,0.9,11,74,13,0.00,0.06,0.06,0.00,0.06,0.02,0.03,0.05,0.02,0.05,Matches
623,Marco Stiepermann,de GER,MF,Norwich City,27,1991,43,39,"3,295",36.6,9,6,15,9,0,1,6,0,7.7,6.9,7.8,14.7,132,247,299,0.25,0.16,0.41,0.25,0.41,0.21,0.21,0.42,0.19,0.40,Matches
624,Jayden Stockley,eng ENG,FW,Preston,24,1993,17,8,711,7.9,4,0,4,4,0,0,1,0,2.2,2.2,0.9,3.1,2,16,46,0.51,0.00,0.51,0.51,0.51,0.28,0.11,0.39,0.28,0.39,Matches
625,Jordan Storey,eng ENG,DF,Preston,20,1997,28,27,"2,486",27.6,1,1,2,1,0,0,1,0,1.5,1.5,0.6,2.1,3,27,1,0.04,0.04,0.07,0.04,0.07,0.05,0.02,0.08,0.05,0.08,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
626,John Swift,eng ENG,MF,Reading,23,1995,34,28,"2,543",28.3,3,3,6,3,0,0,9,0,4.0,4.0,5.1,9.1,64,205,93,0.11,0.11,0.21,0.11,0.21,0.14,0.18,0.32,0.14,0.32,Matches
627,Idrissa Sylla,gn GUI,"FW,DF",QPR,27,1990,3,1,97,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,0,7,0.00,0.00,0.00,0.00,0.00,0.18,0.07,0.25,0.18,0.25,Matches
628,Lasse Sørensen,dk DEN,MF,Stoke City,18,1999,1,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
629,Marcus Tavernier,eng ENG,"FW,MF",Middlesbrough,19,1999,20,2,498,5.5,3,1,4,3,0,0,2,0,1.2,1.2,1.3,2.4,13,15,50,0.54,0.18,0.72,0.54,0.72,0.21,0.23,0.44,0.21,0.44,Matches
630,Andrew Taylor,eng ENG,DF,Bolton,31,1986,26,26,"2,247",25.0,0,1,1,0,0,0,2,0,0.2,0.2,1.0,1.2,14,83,34,0.00,0.04,0.04,0.00,0.04,0.01,0.04,0.05,0.01,0.05,Matches
631,Jon Taylor,eng ENG,"MF,FW",Rotherham Utd,26,1992,41,30,"2,518",28.0,4,1,5,4,0,0,3,0,4.0,4.0,2.4,6.4,80,39,143,0.14,0.04,0.18,0.14,0.18,0.14,0.09,0.23,0.14,0.23,Matches
632,Matty Taylor,eng ENG,FW,Bristol City,28,1990,33,10,"1,215",13.5,4,5,9,3,1,1,4,0,3.3,2.5,3.3,5.8,22,28,107,0.30,0.37,0.67,0.22,0.59,0.24,0.25,0.49,0.19,0.43,Matches
633,Neil Taylor,wls WAL,DF,Aston Villa,29,1989,31,28,"2,475",27.5,0,2,2,0,0,0,4,0,0.4,0.4,1.2,1.6,37,130,83,0.00,0.07,0.07,0.00,0.07,0.02,0.04,0.06,0.02,0.06,Matches
634,Alexander Tettey,no NOR,MF,Norwich City,32,1986,30,26,"2,378",26.4,1,0,1,1,0,0,4,0,1.5,1.5,1.0,2.5,32,123,15,0.04,0.00,0.04,0.04,0.04,0.06,0.04,0.09,0.06,0.09,Matches
635,Ben Thompson,eng ENG,"FW,MF",Millwall,22,1995,13,12,"1,011",11.2,4,0,4,4,0,0,1,0,2.2,2.2,0.9,3.0,24,38,36,0.36,0.00,0.36,0.36,0.36,0.19,0.08,0.27,0.19,0.27,Matches
636,Louis Thompson,wls WAL,"MF,FW",Norwich City,23,1994,6,1,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,8,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
637,Jordan Thorniley,eng ENG,DF,Sheffield Weds,21,1996,20,17,"1,518",16.9,0,0,0,0,0,0,1,0,1.3,1.3,0.1,1.4,5,30,6,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
638,Fikayo Tomori,eng ENG,DF,Derby County,20,1997,44,43,"3,791",42.1,1,1,2,1,0,0,6,0,2.6,2.6,1.2,3.8,39,133,8,0.02,0.02,0.05,0.02,0.05,0.06,0.03,0.09,0.06,0.09,Matches
639,Jon Toral,es ESP,"FW,MF",Hull City,23,1995,8,0,203,2.3,0,2,2,0,0,0,0,0,1.0,1.0,1.1,2.0,4,15,16,0.00,0.89,0.89,0.00,0.89,0.44,0.47,0.91,0.44,0.91,Matches
